Timestamps,CM2_PV_PRODUCT,CM2_PV_BE01_CURRENT,CM2_PV_BE02_POWER,CM2_PV_BF01_OUT_TEMPERATURE,CM2_PV_BF01_PRESSURE,CM2_PV_BF01_DIF_PRESSURE,CM2_PV_BF01_DIF_PRESSURE1,CM2_FLOW_RATE_COAL,CM2_PV_CLA01_POWER,CM2_PV_CLA01_SPEED,CM2_SP_CLA01_SPEED,CM2_PV_DA01_POSITION,CM2_SP_DA01_POSITION,CM2_PV_DA02_POSITION,CM2_SP_PRESS_MODE,CM2_SP_PRESS_AUTO,CM2_SP_PRESS_MANUAL,CM2_PV_FN01_POWER,CM2_SP_GA01_SPM,CM2_PV_HG01_TEMPERATURE,CM2_PV_HG01_TEMPERATURE1,CM2_PV_HG01_TEMPERATURE2,CM2_PV_HYS01_PRESSURE,CM2_PV_HYS01_PRESSURE1,CM2_SP_RB01_MILL_TOTAL_FEED,CM2_SP_RB01_MODE_TOTAL_FEED,CM2_SP_RB01_SPA_TOTAL_FEED,CM2_SP_RB01_TOTAL_FEED,CM2_PV_RB01_TOTAL_FEED,CM2_PV_RF01_CURRENT,CM2_SP_VRM01_TEMP_MODE,CM2_SP_VRM01_TEMP_AUTO,CM2_SP_VRM01_TEMP_MANUAL,CM2_SP_VRM01_PRESS_GRIDING_1_3,CM2_SP_VRM01_PRESS_GRIDING_2_4,CM2_PV_VRM01_INLET_TEMPERATURE,CM2_PV_VRM01_OUTLET_TEMPERATURE,CM2_PV_VRM01_POWER,CM2_PV_VRM01_IN_PRESS,CM2_PV_VRM01_VIBRATION,CM2_PV_VRM01_OUT_ PRESS,CM2_PV_VRM01_DIFF_PRESSURE,CM2_PV_VRM01_POSITION1,CM2_PV_VRM01_POSITION2,CM2_PV_VRM01_POSITION3,CM2_PV_VRM01_POSITION4,CM2_PV_VRM01_VIBRATION1,CM2_SP_WI01_WATER_INJECTION,CM2_PV_WI01_WATER_INJECTION,CM2_AGREGADO_0,CM2_AGREGADO_1,CM2_AGREGADO_2,CM2_CALCARIO,CM2_CLINQUER,CM2_CLINQUERBW,CM2_ESCORIA,CM2_ESCORIA_DRY_PIT,CM2_GESSO,CM2_MIX,CM2_POZOLANA,CM2_LB_FINENESS_CPIIF,CM2_LB_FINENESS_CPIII,CM2_LB_FINENESS_CPVARI,CM2_LB_BLAINE_CPIIF,CM2_LB_BLAINE_CPIII,CM2_LB_BLAINE_CPVARI,CM2_ST_CLA01_SPEED,CM2_ST_DA01_POSITION,CM2_ST_WI01_WATER_INJECTION,CM2_ST_VRM01_PRESS_GRIDING_1_3,CM2_ST_RB01_TOTAL_FEED,CM2_ST_GAS01_ADDITIVE_INJECTION,CM2_ST_DA02_SPA_PRESS,CM2_PV_FLOW_CALCARIO,CM2_PV_FLOW_CLINQUER,CM2_PV_FLOW_ESCORIA,CM2_PV_FLOW_GESSO,CM2_PV_FLOW_MIX,CM2_PV_FLOW_POZOLANA,CM2_ST_IA_ENABLE,CM2_ST_IA_READY,CM2_ST_IA_USE,CM2_IA_CLA01_SP_SPEED,CM2_IA_DA01_SP_POSITION,CM2_IA_DA02_SPA_PRESS,CM2_IA_GAS01_SP_FLOW_AID,CM2_IA_RB01_SP_TOTAL_FEED,CM2_IA_VRM01_SP_PRESS_GRIDING,CM2_IA_WI01_SP_WATER_INJECTION,CM2_IA_SC01_SPA_TEMP_OUT
17/12/2024 00:00:00,2,41.1481,53.20416,95.04394,-61.1093254,8.227513,3.42838025,869.0711,70.6946,1588.84644,89.0,78.36113,78.0,94.9728241,1.0,-5.05247259,95.0,1213,582.55,0.0,108.829048,805.165161,5.4246707,5.391081,62.0,6.0,39.4702454,62.0,62.43406,62.0382576,1.0,101.0,48.0,5.5,5.5,124.149017,101.765633,1349,-5.06353426,6.95314264,-44.4041138,39.3460236,139.844467,30.1166553,33.961422,24.8071156,32.8833466,3000.0,3056.27759,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19436216,55.5872459,0.0,3.5690856,0.0,0.0,1,1,1,89.0,78.0,-5.12400436,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:00:30,2,42.27941,59.8,95.0775,-62.4173126,7.7638526,3.76990056,869.1165,72.48419,1588.38843,89.0,78.36475,78.0,94.9729843,1.0,-5.01283026,95.0,1206,582.55,0.0,108.784241,809.4673,5.4244833,5.39082336,62.0,6.0,40.4871941,62.0,62.3013039,62.56637,1.0,101.0,48.0,5.5,5.5,124.970474,102.012688,1757,-5.09876871,5.98156071,-45.6457,40.54205,135.316116,34.03223,33.8946266,21.1844044,42.5258179,3000.0,3056.19067,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19440269,55.2796249,0.0,3.56903219,0.0,0.0,1,1,1,89.0,78.0,-5.06981659,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:01:00,2,40.8398628,60.9660225,95.11106,-62.2939949,7.876653,4.15198231,869.031067,74.1468353,1587.79773,89.0,78.36838,78.0,94.9731445,1.0,-4.99975729,95.0,1208,582.55,0.0,108.732292,816.0367,5.42429543,5.390566,62.0,6.0,41.0044556,62.0,63.4729271,62.0324173,1.0,101.0,48.0,5.5,5.5,125.791924,102.25975,1209,-5.060012,6.788366,-46.16537,40.9295,128.0,31.957468,29.9699039,20.042532,31.8936672,3000.0,3056.10376,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19444323,56.1755867,0.0,3.56897879,0.0,0.0,1,1,1,89.0,78.0,-4.9039917,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:01:30,2,41.21146,61.3998833,95.14463,-62.1414146,7.9800005,4.353124,868.869934,73.3,1589.29065,89.0,78.372,78.0,94.9733,1.0,-5.01750565,95.0,1191,582.55,0.0,108.680344,822.6061,5.42410755,5.390309,62.0,6.0,40.8659134,62.0,60.85227,62.5944443,1.0,101.0,48.0,5.5,5.5,126.61338,102.506805,1232,-5.14915752,6.27307272,-45.9339561,40.7829971,141.84137,30.2220917,34.77791,19.1586361,34.2855453,3000.0,3056.01685,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19448376,54.09221,0.0,3.56892538,0.0,0.0,1,1,1,89.0,78.0,-4.861126,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:02:00,2,44.30836,58.372345,95.17819,-62.2693253,7.98540068,4.34599447,827.861755,75.2780762,1588.83386,89.0,78.3756256,78.0,94.97346,1.0,-4.999569,95.0,1200,582.55,0.0,108.628387,829.175537,5.42391968,5.39005136,62.0,6.0,40.5108223,62.0,60.59068,62.20932,1.0,101.0,45.0,5.5,5.5,127.43483,102.75386,1590,-5.107232,7.242261,-45.5082664,40.5411224,138.560089,32.0,32.9533272,22.037487,40.116684,3000.0,3055.93,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19452429,53.5187836,0.0,3.568872,0.0,0.0,1,1,1,89.0,78.0,-4.99655533,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:02:30,2,42.612278,51.5476265,95.2117538,-62.07926,7.97640371,4.33054352,828.074,71.94489,1590.37622,89.0,78.37925,78.0,94.97362,1.0,-4.9775486,95.0,1213,582.55,0.0,108.576439,835.744934,5.42373228,5.38979435,62.0,6.0,40.2951736,62.0,61.07905,62.5531235,1.0,101.0,45.0,5.5,5.5,127.010704,103.000916,1347,-5.0387826,7.85413742,-45.2577934,40.21183,148.925171,32.96259,33.1122322,25.8877678,44.62161,3000.0,3055.843,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19456482,53.9555855,0.0,3.56881833,0.0,0.0,1,1,1,89.0,78.0,-4.921543,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:03:00,2,41.58686,59.25232,95.2453156,-61.6387672,7.99775362,4.30217,828.0613,71.73348,1589.47754,89.0,78.38287,78.0,94.97378,1.0,-4.897451,95.0,1206,582.55,0.0,108.52449,842.314331,5.42354441,5.389537,62.0,6.0,40.092247,62.0,64.4215546,62.1106,1.0,101.0,45.0,5.5,5.5,126.273109,103.247971,1277,-4.96933365,6.47697735,-44.9488754,39.980278,134.912811,35.88374,32.9128036,19.0871944,31.1453247,3000.0,3055.756,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19460535,57.3359756,0.0,3.568765,0.0,0.0,1,1,1,89.0,78.0,-4.93160629,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:03:30,2,42.9898071,56.49696,95.27888,-61.7120628,8.134424,4.27436256,827.7313,71.0054245,1591.25366,89.0,78.3865,78.0,94.97394,1.0,-4.878002,95.0,1192,582.55,0.0,108.472542,848.8838,5.42335653,5.38928,62.0,6.0,40.10991,62.0,63.0638542,62.13868,1.0,101.0,45.0,5.5,5.5,125.535515,103.495026,1223,-4.874915,6.815659,-44.90905,40.0459,135.379623,39.7288361,30.9728832,23.0334244,35.1824646,3000.0,3055.66919,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.194646,55.8314056,0.0,3.56871152,0.0,0.0,1,1,1,89.0,78.0,-5.027046,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:04:00,2,41.544117,59.02224,95.31244,-60.7751427,8.089868,4.24862576,828.3154,68.53609,1589.82178,89.0,78.35596,78.0,94.97409,1.0,-4.91184139,95.0,1202,582.55,0.0,108.420586,855.4532,5.42316866,5.38902235,62.0,6.0,39.2869034,62.0,61.36556,62.8240623,1.0,101.0,45.0,5.5,5.5,124.797913,103.742088,1553,-4.924434,5.92011642,-44.21093,39.2038269,144.050171,33.02516,36.799324,22.061842,25.27593,3000.0,3055.58228,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.19468641,54.3149757,0.0,3.568658,0.0,0.0,1,1,1,89.0,78.0,-5.06660461,25.9740257,62.0,5.5,3000.0,101.0
17/12/2024 00:04:30,2,42.2428627,52.9132576,95.34601,-60.6781235,8.383825,3.51181579,827.577148,66.12982,1591.75781,89.0,78.32157,78.0,94.97425,1.0,-4.93482351,95.0,1211,582.55,0.0,108.368637,859.355652,5.42298126,5.38876534,62.0,6.0,38.8956833,62.0,61.08096,62.0324326,1.0,101.0,45.0,5.5,5.5,124.060318,103.500687,1415,-4.95457268,6.403127,-43.6556,38.79211,146.629608,34.09941,32.9686127,25.900589,32.01651,3000.0,3055.49536,0.0,1.0,1.0,3.58,0.0,0.0,3.41,1.0,7.88,1.0,0.0,14.5,6.0,6.6,4610,4280.0,4410.0,0,0,0,0,1,0,0,3.194727,54.46402,0.0,3.56860471,0.0,0.0,1,1,1,89.0,78.0,-5.11613846,25.9740257,62.0,5.5,3000.0,101.0
